id,name_short,name,type,sex,birth,position,education,subject,party,religion,kids,twitter,instagram,facebook,youtube
ga,gemeinsamerausschuss,Gemeinsamer Ausschuss,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
wa,wahlausschuss,Wahlausschuss,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
va,vermittlungsausschuss,Vermittlungsausschuss,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
ass,anwaltservice,AnwaltService Stuttgart GmbH,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
kfw,kreditanstalt,Kreditanstalt für Wiederaufbau,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
vwr,verwaltungsrat,Verwaltungsrat,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
bfi,beiratfinanzen,Beirat Finanzen,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
stv,stiftungverantwortung,Stiftung Verantwortungseigentum e.V.,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
sca,associationcambridge,Selwyn College Association Cambridge,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
lgs,literarischegesellschaft,Literarische Gesellschaft Scheffelbund,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
gsspf,gesellschaftstudium,"Gesellschaft zum Studium strukturpolitischer Fragen e.V., Berlin",1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
lfa,landesfachausschuss,Landesfachausschuss Innen und Recht der FDP ,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
kfdp,kreisverbandböb,FDP-Kreisverband Böblingen,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
krboe,kreisratböb,Kreisrat im Landkreis Böblingen,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
rwa,richterwahlausschuss,Richterwahlausschuss,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
rau,rechtsausschuss,Rechtsausschuss,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
pbfne,parlamentarischerbeirat,Parlamentarischer Beirat für nachhaltige Entwicklung,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
uf,unifreiburg,Universität Freiburg im Breigau,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
uz,unizuerich,Universität Zürich,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
buk,beratung,Beratung und Kommunikation für Karin Rehbock-Zureich,0,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
bunn,ministeriumumwelt,"Bundesministerin für Umwelt, Naturschutz und nukleare Sicherheit",1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
zrmhkw,restmuell,Zweckverband Restmüllheizkraftwerk Böblingen,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
ths,theodorheussstiftung,"Theodor-Heuss-Stiftung, Stuttgart",1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
ha,haupt,Hauptausschuss,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
spd,spdpartei,Soziale Partei Deutschland,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
spdw,spdwaldhut,SPD-Kreisverband Waldshut,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
grl,lauchringen,Gemeinderat Lauchringen,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
rvhrb,bodensee,Regionalverband Hochrhein-Bodensee,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
kwa,kreistagwaldshut,Kreistag Landkreis Waldshut,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
klar,klaratomar,KLAR - Kein Leben mit atomaren Risiken,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
hd,hospizdienst,Hospizdienst e.V.,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
vd,verdi,ver.di,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
uk,karlsruhe,Karlsruher Institut für Technologie,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
lfu,umweltschutz,Zivildienst an der Landesanstalt für Umweltschutz Baden-Württemberg,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
rpa,ausschussrechnung,Rechnungsprüfungsausschuss,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
kvg,germersheim,Kreisverband Germersheim,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
vau,verteidigung,Verteidigungsausschuss,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
svw,wörth,Stadtverband Wörth am Rhein,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
ktg,kreistaggermersheim,Kreistag Germersheim,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
vg,vertrauen,Vertrauensgremium,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
srw,stadtratwörth,Stadtrat Wörth am Rhein,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
rb,bergergmbh,Roland Berger GmbH,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
hsemk,hectorkarlsruhe,"Hector School of Engineering and Management, Karlsruhe",1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
dip,deutschirisch,Deutsch-Irische Parlamentariergruppe,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
pvn,nato,Parlamentarische Versammlung der NATO,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
dgf,deutschgeorgisch,"Deutsch-Georgisches Forum für Politik, Wissenschaft und Kultur e.V.",1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
saif,forschungsvereinigung,Senat Arbeitsgemeinschaft industrieller Forschungsvereinigungen Otto von Guericke e.V.,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
zva,zweckverbandabfall,Zweckverband Abfallverwertung Südwestpfalz,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
bfghd,givadhaviva,Beirat Freundeskreis Givat Haviva Deutschland e.V.,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
eow,ostfriesischewinzer,Aufsichtsrat Erste Ostfriesische Winzergenossenschaft eG i.G.,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
bfia,anstaltimmobilien,Verwaltungsrat Bundesanstalt für Immobilienaufgaben,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
kmgh,mehrgenerationenhaus,Kuratorium Mehrgenerationenhaus der Stadt Wörth am Rhein,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
eud,europaunion,Europa-Union Deutschland e.V.,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
difg,konradzuse,Senats Deutsche Industrieforschungsgemeinschaft Konrad Zuse e.V.,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
ktr,ravensburg,Kreistag Ravensburg,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
fdpr,fdpravensburg,FDP Ravensburg,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
juli,jungeliberale,Junge Liberale,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
unik,konstanz,Universität Konstanz,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
gmb,berg,Gemeinderat Berg,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
nsu,ausschussnsu,Berater für NSU-Untersuchungsausschuss Landtag Baden-Württemberg,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
ls,landgericht,Landgericht Stuttgart,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
zfs,zukunftsforum,Beirat Zukunftsforum öffentliche Sicherheit e.V.,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
ain,amnesty,Amnesty International,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
brb,blutreiter,Blutreitergruppe Berg,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
cpp,peterpaul,Kirchenchor St. Peter und Paul ,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
