id,name_short,name,type,sex,birth,position,education,subject,party,religion,kids,twitter,instagram,facebook,youtube
fdp,fdppartei,Freien Demokraten,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
fmg,finanzmarktgremium,Finanzmarktgremium,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
ur,uniregensburg,Universität Regensburg,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
uc,unicambridge,Universität Cambridge,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
uh,uniheidelberg,Universität Heidelberg,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
ut,unitübingen,Eberhard-Karls-Universität Tübingen,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
dlrg,dlrg,DLRG,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
dag,deutschatlantisch,Deutsch-Atlantische Gesellschaft,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
dig,deutschisaelisch,Deutsch-Israelische Gesellschaft,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
help,helpev,help e.V. ,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
avr,alumniverein,Alumniverein der Ruprecht-Karls-Universität Heidelberg,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
vdfr,vereinderfreunde,Verein der Freunde der Universität Regensburg,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
afwig,ausschusswahl,"Ausschuss für Wahlprüfung, Immunität und Geschäftsordnung",1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
stabmechg,stabilisierungsmech,Gremium des Stabilisierungsmechanismusgesetzes,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
pgi,paramountgroup,Paramount Group Inc.,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
zfbs,zweckverbandflugfeld,Zweckverband Flugfeld Böblingen/Sindelfingen,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
aih,auschussinneres,Ausschuss für Inneres und Heimat,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
gzs,gesellschaftstudium,"Gesellschaft zum Studium strukturpolitischer Fragen e.v., Berlin",1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
vdfgg,vereinderfreunde,Verein der Freunde des Goldberg-Gymnasiums,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
